mcparamset ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.064 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.128 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.192 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.256 
172.0,575.1E-15,16.86E-12,31.28E-12,45.09E-12,59.08E-12
173.0,5.921E-12,22.66E-12,37.68E-12,52.31E-12,67.04E-12
174.0,-1.369E-12,15.01E-12,29.50E-12,43.26E-12,57.03E-12
175.0,-436.6E-15,14.96E-12,28.41E-12,41.18E-12,54.11E-12
176.0,-2.496E-12,13.33E-12,27.41E-12,40.65E-12,53.84E-12
177.0,604.6E-15,17.50E-12,32.52E-12,46.96E-12,61.64E-12
178.0,-943.1E-15,17.16E-12,33.35E-12,48.72E-12,64.02E-12
179.0,4.057E-12,20.02E-12,34.09E-12,47.74E-12,61.44E-12
180.0,-720.9E-15,15.83E-12,30.36E-12,44.28E-12,58.33E-12
181.0,1.329E-12,19.38E-12,35.46E-12,51.04E-12,66.89E-12
182.0,154.8E-15,14.82E-12,27.67E-12,40.05E-12,52.49E-12
183.0,1.751E-12,18.46E-12,33.30E-12,47.36E-12,61.60E-12
184.0,716.5E-15,17.89E-12,33.27E-12,47.79E-12,62.65E-12
185.0,-104.5E-15,15.90E-12,30.20E-12,43.67E-12,57.35E-12
186.0,4.773E-12,21.18E-12,35.67E-12,49.52E-12,63.60E-12
187.0,-2.527E-12,13.19E-12,27.19E-12,40.36E-12,53.69E-12
188.0,2.011E-12,17.89E-12,31.78E-12,45.10E-12,58.52E-12
189.0,-7.463E-12,11.25E-12,27.79E-12,43.27E-12,58.80E-12
190.0,-677.0E-15,16.65E-12,32.25E-12,46.80E-12,61.72E-12
191.0,-2.394E-12,15.04E-12,30.50E-12,45.26E-12,60.05E-12
192.0,-1.139E-12,17.08E-12,33.31E-12,48.70E-12,64.21E-12
193.0,2.525E-12,18.78E-12,33.34E-12,47.33E-12,61.48E-12
194.0,4.925E-12,19.68E-12,32.64E-12,45.14E-12,57.70E-12
195.0,-3.167E-12,13.52E-12,28.36E-12,42.41E-12,56.37E-12
196.0,-252.0E-15,14.86E-12,28.13E-12,40.84E-12,53.49E-12
197.0,2.092E-12,18.94E-12,33.93E-12,48.24E-12,62.53E-12
198.0,-4.912E-12,10.95E-12,24.99E-12,38.29E-12,51.59E-12
199.0,160.8E-15,17.48E-12,32.85E-12,47.70E-12,62.78E-12
200.0,-403.6E-15,14.90E-12,28.41E-12,41.13E-12,53.94E-12
