Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=0, h=0",,,,,,
65,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",608.3e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=0, h=900m",,,,,,
66,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",604.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=900m, h=0",,,,,,
67,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",601.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=900m, h=900m",,,,,,
68,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",596.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=0, h=0",,,,,,
69,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",594.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=0, h=900m",,,,,,
70,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",590.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=900m, h=0",,,,,,
71,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",587e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
72,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",582.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=0, h=0",,,,,,
73,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",580.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=0, h=900m",,,,,,
74,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",576.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=900m, h=0",,,,,,
75,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",573e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
76,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",568.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=0, h=0",,,,,,
77,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",565.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
78,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",561.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
79,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",557.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
80,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",553e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=0, h=0",,,,,,
81,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",551.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=0, h=900m",,,,,,
82,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",546.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=900m, h=0",,,,,,
83,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",543e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
84,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",538.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=0, h=0",,,,,,
85,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",535.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
86,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",530.6e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
87,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",526.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
88,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",522.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=0, h=0",,,,,,
89,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",520.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
90,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",515.6e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
91,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",511.9e-3,,,
