Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
46,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",694.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
47,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",690.9e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
48,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",687.1e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=0, g=0, h=0",,,,,,
49,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",685.9e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=0, g=0, h=900m",,,,,,
50,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",681.5e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=0, g=900m, h=0",,,,,,
51,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",678.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
52,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",674.3e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=900m, g=0, h=0",,,,,,
53,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",671.8e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
54,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",667.5e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
55,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",664.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
56,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",660.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=0, g=0, h=0",,,,,,
57,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",658.3e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
58,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",654e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
59,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",650.5e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
60,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",646.6e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
61,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",643.7e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
62,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",639.7e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
63,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",636.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
64,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",632.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=0, h=0",,,,,,
65,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",632e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=0, h=900m",,,,,,
66,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",628.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=900m, h=0",,,,,,
67,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",625e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=900m, h=900m",,,,,,
68,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",620.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=0, h=0",,,,,,
69,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",618.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=0, h=900m",,,,,,
70,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",614.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=900m, h=0",,,,,,
71,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",610.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
72,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",606.9e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=0, h=0",,,,,,
73,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",605.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=0, h=900m",,,,,,
74,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",600.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=900m, h=0",,,,,,
75,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",597.3e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
76,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",593.3e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=0, h=0",,,,,,
77,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",590.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
78,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",586.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
79,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",582.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
80,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",578.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=0, h=0",,,,,,
81,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",576.9e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=0, h=900m",,,,,,
82,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",572.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=900m, h=0",,,,,,
83,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",568.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
84,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",563.9e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=0, h=0",,,,,,
85,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",561.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
86,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",556.3e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
87,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",552.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
88,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",547.9e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=0, h=0",,,,,,
89,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",545.6e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
90,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",540.6e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
91,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",536.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
92,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",532.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
93,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",528.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
94,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",524.3e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
