Point,Corner,a,b,c,d,e,f,g,h,Pass/Fail,"value(VT(""/VO"") 1e-08)"
243,nom,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,0,,69.76e-3
244,nom,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,,66.49e-3
245,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,0,,63.97e-3
246,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,,60.74e-3
247,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,,57.9e-3
248,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,,54.63e-3
249,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,0,,52.63e-3
250,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,,49.51e-3
251,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,,46.78e-3
252,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,,43.64e-3
253,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,,41.41e-3
254,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,,38.35e-3
255,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,,35.78e-3
256,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,32.82e-3

