Point,Corner,mc_iteration,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
323,C1,323,,440e-3
324,C1,324,,439.6e-3
325,C1,325,,438.6e-3
326,C1,326,,438.3e-3
327,C1,327,,439.9e-3
328,C1,328,,438.6e-3
329,C1,329,,441.3e-3
330,C1,330,,440.6e-3
331,C1,331,,437.9e-3
332,C1,332,,437.9e-3
333,C1,333,,439.9e-3
334,C1,334,,440.5e-3
335,C1,335,,440.4e-3
336,C1,336,,438.7e-3
337,C1,337,,438.8e-3
338,C1,338,,440.4e-3
339,C1,339,,439e-3
340,C1,340,,440.1e-3
341,C1,341,,439.6e-3
342,C1,342,,440.3e-3
343,C1,343,,437.8e-3
344,C1,344,,437.9e-3
345,C1,345,,440.8e-3
346,C1,346,,439.1e-3
347,C1,347,,438.7e-3
348,C1,348,,439.7e-3
349,C1,349,,438.5e-3
350,C1,350,,438.8e-3
351,C1,351,,438.8e-3
352,C1,352,,438.6e-3
353,C1,353,,440.2e-3
354,C1,354,,441.5e-3
355,C1,355,,437.6e-3
356,C1,356,,439.2e-3
357,C1,357,,439.3e-3
358,C1,358,,440.3e-3
359,C1,359,,438.3e-3
360,C1,360,,439.8e-3
361,C1,361,,439e-3
362,C1,362,,439.5e-3
363,C1,363,,439.7e-3
364,C1,364,,440e-3
365,C1,365,,438e-3
366,C1,366,,439.8e-3
367,C1,367,,438.2e-3
368,C1,368,,439.7e-3
369,C1,369,,438.1e-3
370,C1,370,,439.1e-3
371,C1,371,,440.4e-3
372,C1,372,,440.4e-3
373,C1,373,,439.4e-3
374,C1,374,,438.4e-3
375,C1,375,,438.9e-3
376,C1,376,,439.6e-3
377,C1,377,,440.9e-3
378,C1,378,,439.8e-3
379,C1,379,,438.9e-3
380,C1,380,,439.2e-3
381,C1,381,,439.2e-3
382,C1,382,,439.9e-3
383,C1,383,,438.8e-3
384,C1,384,,439.6e-3
385,C1,385,,439.4e-3
386,C1,386,,438.3e-3
387,C1,387,,439.8e-3
388,C1,388,,439.1e-3
389,C1,389,,439.2e-3
390,C1,390,,438.5e-3
391,C1,391,,440.2e-3
392,C1,392,,439.1e-3
393,C1,393,,439.6e-3
394,C1,394,,440.8e-3
395,C1,395,,439.5e-3
396,C1,396,,439.1e-3
397,C1,397,,440.3e-3
398,C1,398,,439.5e-3
399,C1,399,,439e-3
400,C1,400,,440.4e-3
401,C1,401,,439.7e-3
402,C1,402,,438.6e-3
403,C1,403,,438.7e-3
404,C1,404,,439.1e-3
405,C1,405,,439.2e-3
406,C1,406,,439.8e-3
407,C1,407,,439e-3
408,C1,408,,439.1e-3
409,C1,409,,439.4e-3
410,C1,410,,438.9e-3
411,C1,411,,439.7e-3
412,C1,412,,438.9e-3
413,C1,413,,440e-3
414,C1,414,,438.1e-3
415,C1,415,,440.8e-3
416,C1,416,,439.5e-3
417,C1,417,,439.4e-3
418,C1,418,,438.8e-3
419,C1,419,,438.1e-3
420,C1,420,,438.6e-3
421,C1,421,,440.4e-3
422,C1,422,,439.5e-3
423,C1,423,,439.6e-3
424,C1,424,,439.6e-3
425,C1,425,,439.8e-3
426,C1,426,,438.8e-3
427,C1,427,,441.2e-3
428,C1,428,,441.1e-3
429,C1,429,,438.9e-3
430,C1,430,,438.1e-3
431,C1,431,,439.8e-3
432,C1,432,,440.5e-3
433,C1,433,,438.7e-3
434,C1,434,,438.5e-3
435,C1,435,,439.1e-3
436,C1,436,,440.2e-3
437,C1,437,,438e-3
438,C1,438,,438.2e-3
439,C1,439,,440.3e-3
440,C1,440,,438.8e-3
441,C1,441,,439.7e-3
442,C1,442,,440.1e-3
443,C1,443,,439.2e-3
444,C1,444,,438.7e-3
445,C1,445,,440.3e-3
446,C1,446,,440.8e-3
447,C1,447,,438.5e-3
448,C1,448,,438.6e-3
449,C1,449,,438.7e-3
450,C1,450,,438.4e-3
451,C1,451,,440.5e-3
452,C1,452,,440.4e-3
453,C1,453,,439.3e-3
454,C1,454,,438.9e-3
455,C1,455,,440.3e-3
456,C1,456,,439.3e-3
457,C1,457,,439.6e-3
458,C1,458,,439.7e-3
459,C1,459,,439e-3
460,C1,460,,437.7e-3
461,C1,461,,439.9e-3
462,C1,462,,439.1e-3
463,C1,463,,440e-3
464,C1,464,,438.2e-3
465,C1,465,,440.9e-3
466,C1,466,,437.7e-3
467,C1,467,,439.4e-3
468,C1,468,,439.5e-3
469,C1,469,,439.6e-3
470,C1,470,,438.9e-3
471,C1,471,,438.8e-3
472,C1,472,,440.4e-3
473,C1,473,,438.7e-3
474,C1,474,,439.4e-3
475,C1,475,,439.2e-3
476,C1,476,,440.5e-3
477,C1,477,,438.9e-3
478,C1,478,,438.4e-3
479,C1,479,,440.6e-3
480,C1,480,,438.5e-3
481,C1,481,,439.8e-3
482,C1,482,,440.8e-3
483,C1,483,,439.2e-3
484,C1,484,,439.5e-3
485,C1,485,,438.6e-3
486,C1,486,,438.9e-3
487,C1,487,,438.5e-3
488,C1,488,,440.3e-3
489,C1,489,,437.9e-3
490,C1,490,,438.9e-3
491,C1,491,,440e-3
492,C1,492,,439.4e-3
493,C1,493,,438.9e-3
494,C1,494,,439e-3
495,C1,495,,440e-3
496,C1,496,,440.2e-3
497,C1,497,,439.4e-3
498,C1,498,,438e-3
499,C1,499,,442e-3
500,C1,500,,439.9e-3
501,C1,501,,438.5e-3
502,C1,502,,439.2e-3
503,C1,503,,439.5e-3
504,C1,504,,439.2e-3
505,C1,505,,439.9e-3
506,C1,506,,440.3e-3
507,C1,507,,438.1e-3
508,C1,508,,439.2e-3
509,C1,509,,439.7e-3
510,C1,510,,440.1e-3
511,C1,511,,438.8e-3
512,C1,512,,438.9e-3
513,C1,513,,439.5e-3
514,C1,514,,438.2e-3
515,C1,515,,438.2e-3
516,C1,516,,439.3e-3
517,C1,517,,440.6e-3
518,C1,518,,439.4e-3
519,C1,519,,439.7e-3
520,C1,520,,440.1e-3
521,C1,521,,438.5e-3
522,C1,522,,438.9e-3
523,C1,523,,441.4e-3
524,C1,524,,440.6e-3
525,C1,525,,439.1e-3
526,C1,526,,438.2e-3
527,C1,527,,439.1e-3
528,C1,528,,441e-3
529,C1,529,,439.8e-3
530,C1,530,,438.9e-3
531,C1,531,,438.5e-3
532,C1,532,,439.2e-3
533,C1,533,,439.3e-3
534,C1,534,,438.8e-3
535,C1,535,,439.6e-3
536,C1,536,,437.9e-3
537,C1,537,,440.3e-3
538,C1,538,,439.8e-3
539,C1,539,,439.5e-3
540,C1,540,,439e-3
541,C1,541,,437.5e-3
542,C1,542,,439.6e-3
543,C1,543,,439.4e-3
544,C1,544,,440.2e-3
545,C1,545,,439.2e-3
546,C1,546,,438.7e-3
547,C1,547,,439.2e-3
548,C1,548,,440.2e-3
549,C1,549,,438.4e-3
550,C1,550,,438.6e-3
551,C1,551,,439.8e-3
552,C1,552,,438.1e-3
553,C1,553,,441.1e-3
554,C1,554,,438.2e-3
555,C1,555,,439.6e-3
556,C1,556,,440.2e-3
557,C1,557,,441.2e-3
558,C1,558,,439e-3
559,C1,559,,438.4e-3
560,C1,560,,438.4e-3
561,C1,561,,441e-3
562,C1,562,,440.2e-3
563,C1,563,,438.5e-3
564,C1,564,,438.8e-3
565,C1,565,,439e-3
566,C1,566,,440.9e-3
567,C1,567,,438.6e-3
568,C1,568,,439.7e-3
569,C1,569,,438.5e-3
570,C1,570,,439.6e-3
571,C1,571,,438.9e-3
572,C1,572,,440.4e-3
573,C1,573,,439.7e-3
574,C1,574,,439.5e-3
575,C1,575,,439.2e-3
576,C1,576,,437.9e-3
577,C1,577,,439.6e-3
578,C1,578,,439.8e-3
579,C1,579,,439.9e-3
580,C1,580,,438.1e-3
581,C1,581,,440.9e-3
582,C1,582,,440e-3
583,C1,583,,439.4e-3
584,C1,584,,440e-3
585,C1,585,,439.3e-3
586,C1,586,,439.7e-3
587,C1,587,,440e-3
588,C1,588,,437.9e-3
589,C1,589,,438.9e-3
590,C1,590,,439.6e-3
591,C1,591,,439.8e-3
592,C1,592,,439.9e-3
593,C1,593,,438.9e-3
594,C1,594,,439e-3
595,C1,595,,438.1e-3
596,C1,596,,440.6e-3
597,C1,597,,438.6e-3
598,C1,598,,439.7e-3
599,C1,599,,439e-3
600,C1,600,,439.6e-3
601,C1,601,,439.9e-3
602,C1,602,,439.6e-3
603,C1,603,,438.3e-3
604,C1,604,,439.9e-3
605,C1,605,,439.4e-3
606,C1,606,,439.6e-3
607,C1,607,,439.2e-3
608,C1,608,,439.9e-3
609,C1,609,,438.8e-3
610,C1,610,,438.6e-3
611,C1,611,,440.3e-3
612,C1,612,,440.5e-3
613,C1,613,,440.2e-3
614,C1,614,,437.4e-3
615,C1,615,,439.8e-3
616,C1,616,,439.1e-3
617,C1,617,,440.8e-3
618,C1,618,,439.4e-3
619,C1,619,,438.5e-3
620,C1,620,,438e-3
621,C1,621,,440.7e-3
622,C1,622,,439.5e-3
623,C1,623,,439.3e-3
624,C1,624,,438.5e-3
625,C1,625,,439.7e-3
626,C1,626,,439.9e-3
627,C1,627,,440.3e-3
628,C1,628,,439.3e-3
629,C1,629,,439.6e-3
630,C1,630,,439.9e-3
631,C1,631,,439.2e-3
632,C1,632,,439.4e-3
633,C1,633,,439.2e-3
634,C1,634,,438e-3
635,C1,635,,438.9e-3
636,C1,636,,440.3e-3
637,C1,637,,438.5e-3
638,C1,638,,438.3e-3
639,C1,639,,441.6e-3
640,C1,640,,439.5e-3
641,C1,641,,439.6e-3
642,C1,642,,440e-3
643,C1,643,,439.2e-3
644,C1,644,,438.7e-3
645,C1,645,,439.7e-3
646,C1,646,,439.6e-3
647,C1,647,,439.4e-3
648,C1,648,,439.1e-3
649,C1,649,,439.4e-3
650,C1,650,,439.1e-3
651,C1,651,,440.6e-3
652,C1,652,,440.1e-3
653,C1,653,,439.4e-3
654,C1,654,,438.2e-3
655,C1,655,,439e-3
656,C1,656,,440.5e-3
657,C1,657,,438.8e-3
658,C1,658,,437.7e-3
659,C1,659,,440.2e-3
660,C1,660,,440.4e-3
661,C1,661,,439.7e-3
662,C1,662,,438.4e-3
663,C1,663,,437.2e-3
664,C1,664,,439.1e-3
665,C1,665,,439.2e-3
666,C1,666,,440.5e-3
667,C1,667,,439.9e-3
668,C1,668,,439.6e-3
669,C1,669,,439.6e-3
670,C1,670,,439.6e-3
671,C1,671,,438.5e-3
672,C1,672,,438.1e-3
673,C1,673,,439.3e-3
674,C1,674,,439.5e-3
675,C1,675,,439.1e-3
676,C1,676,,440.5e-3
677,C1,677,,439.3e-3
678,C1,678,,439e-3
679,C1,679,,439.1e-3
680,C1,680,,439.7e-3
681,C1,681,,440e-3
682,C1,682,,438.1e-3
683,C1,683,,439.1e-3
684,C1,684,,438.9e-3
685,C1,685,,439.8e-3
686,C1,686,,439.6e-3
687,C1,687,,439e-3
688,C1,688,,439e-3
689,C1,689,,439.9e-3
690,C1,690,,440.5e-3
691,C1,691,,437.9e-3
692,C1,692,,439.1e-3
693,C1,693,,439.8e-3
694,C1,694,,439.7e-3
695,C1,695,,439.3e-3
696,C1,696,,439.6e-3
697,C1,697,,438e-3
698,C1,698,,441e-3
699,C1,699,,440.8e-3
700,C1,700,,439.6e-3
701,C1,701,,438.8e-3
702,C1,702,,439.2e-3
703,C1,703,,438.6e-3
704,C1,704,,439.5e-3
705,C1,705,,440.4e-3
706,C1,706,,440.6e-3
707,C1,707,,439.3e-3
708,C1,708,,438.3e-3
709,C1,709,,440.3e-3
710,C1,710,,439.5e-3
711,C1,711,,438.2e-3
712,C1,712,,440.9e-3
713,C1,713,,438.5e-3
714,C1,714,,438.5e-3
715,C1,715,,440.3e-3
716,C1,716,,440.2e-3
717,C1,717,,438.7e-3
718,C1,718,,438e-3
719,C1,719,,439.9e-3
