Point,Corner,mc_iteration,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
560,C3,560,,877.1e-3
561,C3,561,,877.5e-3
562,C3,562,,877.3e-3
563,C3,563,,876.9e-3
564,C3,564,,876.4e-3
565,C3,565,,877.4e-3
566,C3,566,,877.6e-3
567,C3,567,,876.9e-3
568,C3,568,,877.4e-3
569,C3,569,,876.7e-3
570,C3,570,,877e-3
571,C3,571,,877.5e-3
572,C3,572,,877.4e-3
573,C3,573,,877.2e-3
574,C3,574,,877e-3
575,C3,575,,877.3e-3
576,C3,576,,876.6e-3
577,C3,577,,877.3e-3
578,C3,578,,877.5e-3
579,C3,579,,877e-3
580,C3,580,,877.2e-3
581,C3,581,,877.5e-3
582,C3,582,,877.4e-3
583,C3,583,,877e-3
584,C3,584,,877.4e-3
585,C3,585,,877.1e-3
586,C3,586,,876.9e-3
587,C3,587,,877.3e-3
588,C3,588,,877.2e-3
589,C3,589,,876.3e-3
590,C3,590,,876.9e-3
591,C3,591,,877.5e-3
592,C3,592,,877.5e-3
593,C3,593,,877e-3
594,C3,594,,877.2e-3
595,C3,595,,876e-3
596,C3,596,,877.5e-3
597,C3,597,,877.1e-3
598,C3,598,,876.6e-3
599,C3,599,,877.2e-3
600,C3,600,,877.1e-3
601,C3,601,,877.4e-3
602,C3,602,,877.3e-3
603,C3,603,,876.6e-3
604,C3,604,,876.9e-3
605,C3,605,,877.4e-3
606,C3,606,,877.5e-3
607,C3,607,,877e-3
608,C3,608,,877.2e-3
609,C3,609,,876.7e-3
610,C3,610,,877.2e-3
611,C3,611,,877.5e-3
612,C3,612,,877.6e-3
613,C3,613,,877.1e-3
614,C3,614,,876.8e-3
615,C3,615,,877.4e-3
616,C3,616,,877.1e-3
617,C3,617,,877.6e-3
618,C3,618,,877.3e-3
619,C3,619,,876.7e-3
620,C3,620,,876.5e-3
621,C3,621,,877.2e-3
622,C3,622,,877.4e-3
623,C3,623,,877.2e-3
624,C3,624,,876.9e-3
625,C3,625,,877.3e-3
626,C3,626,,877.6e-3
627,C3,627,,877.3e-3
628,C3,628,,877e-3
